id	data_size	infer_time	accuracy	
60886	100.406	0.37	0.554	
60899	136.013	0.35	0.269	
60932	144.727	0.44	0.348	
61108	140.132	0.36	0.21	
61171	182.486	0.35	0.635	
61268	150.908	0.33	0.371	
61333	110.366	0.45	0.568	
61418	143.265	0.42	0.52	
61471	87.501	0.25	0.567	
61584	179.27	0.34	0.292	
61658	206.558	0.37	0.447	
61747	210.129	0.21	0.4	
61960	149.072	0.3	0.269	
62025	74.153	0.29	0.7	
62353	373.936	0.38	0.287	
62355	221.844	0.28	0.411	
62554	137.164	0.39	0.306	
62692	162.098	0.25	0.35	
62808	223.849	0.48	0.529	
63047	215.737	0.28	0.371	
63154	171.198	0.33	0.136	
63552	135.054	0.26	0.454	
63602	78.734	0.38	0.668	
63740	107.037	0.34	0.707	
63965	122.496	0.33	0.567	
64084	158.877	0.43	0.443	
64359	119.378	0.26	0.683	
64462	107.053	0.24	0.55	
64495	245.637	0.23	0.7	
64499	198.132	0.27	0.353	
64523	137.806	0.42	0.425	
64574	118.663	0.26	-1.0	
64718	190.969	0.25	0.8	
64868	93.304	0.33	0.536	
64898	171.154	0.27	0.788	
65074	190.705	0.27	0.75	
65288	263.349	0.48	0.272	
65350	186.749	0.35	0.228	
65455	173.978	0.4	0.543	
65485	103.789	0.29	0.675	
65736	88.071	0.3	0.833	
65798	219.874	0.48	0.187	
66038	254.611	0.51	0.374	
66135	103.292	0.23	0.9	
66231	159.775	0.49	0.321	
66523	91.188	0.25	0.7	
66561	183.705	0.25	0.825	
66635	67.205	0.24	0.7	
66706	193.209	0.36	0.347	
66771	169.717	0.44	0.551	
66817	160.361	0.3	0.277	
66841	114.142	0.32	0.709	
66886	131.05	0.29	0.7	
66926	74.733	0.28	0.745	
67180	176.909	0.26	0.55	
67213	216.152	0.41	0.65	
67310	150.371	0.29	0.549	
67315	154.155	0.31	0.539	
67406	82.521	0.28	0.817	
67534	118.69	0.27	0.333	
67616	240.581	0.48	0.33	
67896	251.23	0.24	0.8	
68078	77.691	0.29	0.725	
68093	278.31	0.3	0.683	
68286	142.022	0.32	0.5	
68387	105.287	0.28	0.527	
68409	81.754	0.38	0.297	
68628	100.623	0.25	0.7	
68765	116.346	0.27	0.85	
68833	235.642	0.37	0.537	
68933	114.682	0.25	0.9	
69106	124.435	0.26	0.453	
69138	75.755	0.31	0.55	
69213	107.287	0.35	0.684	
69224	40.521	0.37	0.432	
69356	199.392	0.48	0.276	
69795	154.609	0.36	0.8	
70048	184.179	0.31	0.92	
70158	188.265	0.26	0.623	
70229	221.237	0.31	0.626	
70254	202.909	0.43	0.422	
70739	103.959	0.32	0.387	
70774	191.341	0.35	0.217	
71226	133.884	0.32	0.831	
71451	104.765	0.32	0.9	
71711	182.924	0.37	0.287	
71756	122.103	0.24	0.0	
71877	159.272	0.27	0.667	
71938	68.211	0.25	0.4	
72281	126.912	0.29	0.8	
72795	180.198	0.48	0.371	
72813	106.086	0.29	0.667	
72852	276.506	0.34	0.6	
73118	182.239	0.2	0.5	
73153	82.755	0.25	0.45	
73326	185.626	0.48	0.53	
73533	130.354	0.31	0.464	
73702	229.459	0.4	0.405	
73946	102.48	0.33	0.778	
74058	98.95	0.49	0.193	
74092	154.387	0.32	0.428	
74200	112.819	0.36	0.466	
74209	166.224	0.49	0.277	
74256	144.158	0.36	0.345	
74457	139.584	0.28	0.65	
74646	99.029	0.35	0.285	
74733	174.63	0.42	0.586	
74860	111.29	0.26	0.8	
75393	97.454	0.3	0.137	
75456	111.53	0.28	0.9	
75612	101.683	0.38	0.38	
76211	166.629	0.23	0.2	
76261	18.369	0.26	0.4	
76416	236.312	0.33	0.497	
76417	225.393	0.27	0.725	
76468	235.234	0.47	0.214	
76547	241.865	0.47	0.349	
76625	172.647	0.37	0.426	
76731	94.817	0.28	1.0	
77396	118.917	0.31	0.531	
77460	93.899	0.44	0.247	
77595	141.635	0.33	0.633	
78032	185.684	0.32	0.311	
78170	151.754	0.29	0.411	
78266	208.182	0.4	0.222	
78404	93.546	0.3	0.148	
78420	107.794	0.28	0.667	
78426	71.479	0.29	0.8	
78565	144.041	0.39	0.306	
78748	212.915	0.46	0.553	
78823	154.229	0.29	0.754	
78843	155.632	0.28	0.438	
78915	290.62	0.43	0.68	
78959	145.976	0.4	0.274	
79014	44.896	0.31	0.75	
79031	228.114	0.28	0.65	
79034	315.53	0.33	0.606	
79144	261.993	0.29	0.75	
79188	169.909	0.23	0.1	
79229	134.966	0.3	0.667	
79408	151.436	0.23	1.0	
79565	54.983	0.22	0.725	
79588	220.873	0.32	0.684	
79651	217.66	0.27	0.516	
79837	125.927	0.42	0.184	
79969	261.443	0.49	0.348	
80022	86.829	0.26	0.667	
80057	87.873	0.33	0.5	
80153	157.384	0.28	0.567	
80273	75.071	0.3	0.65	
80274	284.174	0.25	0.0	
80340	145.466	0.47	0.51	
80413	90.402	0.28	0.9	
80659	183.086	0.33	0.53	
80666	318.89	0.25	0.65	
80671	99.919	0.26	0.412	
80932	200.813	0.45	0.423	
80949	88.441	0.33	0.423	
81061	172.256	0.27	0.867	
81394	232.13	0.3	0.563	
81594	202.195	0.3	0.6	
81738	134.918	0.27	0.5	
81766	281.293	0.24	0.734	
81988	109.417	0.34	0.636	
82085	227.728	0.33	0.538	
82180	197.677	0.32	0.825	
82688	70.759	0.31	0.318	
82696	97.457	0.48	0.456	
82715	258.146	0.26	0.65	
82765	55.014	0.29	0.85	
82807	91.438	0.25	0.55	
82812	159.086	0.52	0.418	
82821	295.89	0.48	0.343	
82846	254.419	0.3	0.775	
82986	183.885	0.31	0.437	
83113	280.249	0.25	0.751	
83172	74.371	0.27	0.554	
83531	107.868	0.45	0.273	
83540	163.712	0.3	0.35	
84031	130.608	0.5	0.346	
84170	210.646	0.28	0.552	
84241	161.461	0.54	0.273	
84270	141.769	0.49	0.164	
84362	93.296	0.32	0.375	
84431	126.354	0.34	0.95	
84477	153.136	0.26	0.733	
84492	199.831	0.35	0.414	
84650	110.72	0.3	0.411	
84664	162.564	0.28	0.604	
84674	124.958	0.32	0.351	
84752	141.74	0.33	0.432	
85089	166.39	0.34	0.527	
85157	167.584	0.44	0.413	
85195	163.683	0.26	0.7	
85329	73.342	0.28	0.5	
85376	172.524	0.36	0.697	
85478	149.262	0.26	0.45	
85576	80.682	0.23	0.9	
85665	66.511	0.26	0.3	
85682	191.36	0.48	0.16	
85772	151.91	0.26	0.817	
85823	277.745	0.26	0.633	
85911	117.214	0.26	0.9	
86220	206.381	0.33	0.62	
86483	136.294	0.28	0.392	
86582	168.227	0.39	0.667	
86755	110.897	0.3	0.278	
86956	99.449	0.29	0.375	
87038	179.007	0.41	0.447	
87144	156.945	0.31	0.6	
87244	106.099	0.26	0.4	
87470	238.127	0.53	0.177	
87476	162.074	0.46	0.587	
87742	115.909	0.25	0.8	
87875	240.748	0.22	0.8	
88040	276.112	0.46	0.461	
88218	80.097	0.25	0.74	
88250	164.68	0.24	0.7	
88265	283.083	0.25	0.6	
88269	134.265	0.29	0.767	
88345	120.147	0.28	0.475	
88432	172.959	0.3	0.525	
88462	197.235	0.39	0.375	
88485	112.91	0.25	0.9	
88848	319.766	0.31	0.432	
88951	192.199	0.28	0.767	
88970	121.288	0.25	0.7	
89045	113.352	0.38	0.167	
89078	198.373	0.27	0.45	
89271	228.943	0.25	0.8	
89296	164.404	0.3	0.569	
89556	204.423	0.4	0.378	
89648	165.769	0.48	0.324	
89670	109.494	0.32	0.311	
89697	149.751	0.31	0.426	
89761	184.091	0.23	1.0	
89880	64.081	0.3	0.825	
90003	288.473	0.23	0.7	
90062	266.312	0.26	0.8	
90108	145.198	0.25	0.833	
90155	229.087	0.27	0.9	
90208	238.242	0.27	0.889	
90284	125.951	0.19	0.7	
90631	84.662	0.25	0.7	
90891	411.679	0.53	0.415	
90956	120.835	0.26	0.25	
91406	172.909	0.49	0.357	
91495	141.894	0.28	0.75	
91500	230.078	0.4	0.404	
91615	187.2	0.31	0.633	
91619	118.853	0.24	0.9	
91654	180.252	0.32	0.4	
91779	197.261	0.38	0.547	
91921	310.58	0.24	0.75	
92053	132.645	0.39	0.334	
92091	150.647	0.33	0.457	
92124	74.948	0.29	0.9	
92177	110.365	0.25	0.3	
92416	116.634	0.37	0.368	
92660	204.126	0.5	0.521	
92839	225.326	0.25	0.9	
92939	170.928	0.37	0.524	
93154	201.262	0.39	0.304	
93261	88.93	0.29	0.284	
93353	79.831	0.3	0.735	
93437	105.545	0.41	0.292	
93717	130.779	0.36	0.2	
93965	304.203	0.24	0.825	
94157	166.197	0.36	0.593	
94185	225.289	0.36	0.573	
94326	170.452	0.27	0.0	
94336	92.042	0.28	0.65	
94614	51.392	0.3	0.224	
94751	45.522	0.34	0.357	
94852	364.795	0.29	0.551	
94871	237.964	0.33	0.589	
94944	102.804	0.35	0.268	
95069	126.84	0.26	0.5	
95155	197.893	0.27	0.462	
95707	133.31	0.37	0.525	
95786	71.219	0.28	0.618	
95843	152.811	0.28	1.0	
95862	66.434	0.41	0.247	
95899	202.563	0.27	0.9	
96001	172.885	0.37	0.6	
96427	149.455	0.26	0.483	
96493	108.165	0.31	0.533	
96549	80.792	0.23	0.7	
96825	224.406	0.25	0.133	
96960	239.981	0.27	0.7	
97022	174.133	0.42	0.48	
97230	183.396	0.24	0.652	
97278	103.154	0.25	0.65	
97337	154.05	0.34	0.393	
97585	257.105	0.37	0.554	
97679	102.892	0.33	0.628	
97924	111.538	0.32	0.334	
97988	274.95	0.39	0.415	
97994	137.28	0.4	0.459	
98018	169.207	0.32	0.385	
98261	13.62	0.26	0.8	
98287	175.626	0.36	0.187	
98392	90.535	0.35	0.636	
98497	113.861	0.27	-1.0	
98520	118.166	0.26	0.667	
98633	84.636	0.37	0.4	
98716	120.311	0.31	0.675	
98839	170.0	0.26	0.8	
98853	233.334	0.5	0.438	
99024	132.708	0.26	0.767	
99039	225.508	0.41	0.346	
99053	232.278	0.36	0.633	
99054	190.31	0.38	0.509	
99114	116.393	0.41	0.401	
99182	105.155	0.31	0.533	
99242	103.885	0.25	0.4	
99428	218.429	0.27	0.206	
99810	53.599	0.31	0.655	
100238	223.659	0.34	0.531	
100274	204.502	0.42	0.419	
100283	218.596	0.29	0.696	
100428	164.355	0.28	0.307	
100489	178.467	0.26	0.9	
100510	138.254	0.3	0.437	
100582	239.665	0.43	0.833	
100624	80.279	0.37	0.227	
100723	157.48	0.46	0.392	
101022	227.924	0.26	-1.0	
101068	233.362	0.28	0.6	
101420	117.232	0.28	0.65	
101762	113.184	0.29	0.7	
101780	202.478	0.28	0.584	
101787	147.624	0.25	0.4	
101884	134.651	0.3	0.402	
102331	120.617	0.27	0.6	
102356	149.266	0.34	0.6	
