id	data_size	infer_time	accuracy	
34452	212.416	94.722	0.866	
34760	147.889	62.832	0.777	
34873	92.082	95.718	0.558	
35062	124.756	61.834	0.505	
35197	132.787	62.832	0.966	
35279	231.938	94.746	0.854	
35326	122.29	95.72	0.4	
35682	176.335	65.8	0.68	
35770	97.133	64.803	0.103	
35963	305.078	65.726	0.554	
36494	134.416	90.733	0.295	
36539	139.604	60.837	0.733	
36660	131.33	80.786	0.662	
36678	173.516	79.759	0.474	
36844	104.43	95.718	0.408	
36861	119.929	66.821	0.9	
36936	127.25	79.759	0.427	
37670	115.033	96.741	0.278	
37689	160.585	89.936	0.382	
37740	107.603	96.741	0.327	
37751	220.692	94.448	0.554	
37777	39.876	92.937	0.602	
37988	66.374	95.326	0.841	
38048	47.661	60.437	0.505	
38070	76.983	95.122	1.0	
38118	108.604	91.036	0.404	
38210	139.084	65.817	0.631	
38576	107.385	61.486	0.835	
38678	180.661	67.596	0.65	
38825	239.93	89.406	1.0	
38829	208.864	90.092	0.505	
39405	116.066	95.72	0.259	
39477	230.748	91.065	0.23	
39480	75.125	88.738	0.95	
39484	118.442	90.752	0.331	
39551	150.381	88.938	0.733	
39670	413.558	98.289	1.0	
39769	169.073	94.722	0.795	
39785	132.887	95.195	0.494	
39914	155.893	67.794	0.612	
39951	86.374	90.757	0.505	
39956	105.022	88.942	0.901	
40036	236.932	89.787	0.663	
40083	101.711	89.761	0.638	
40471	189.678	62.808	0.309	
40757	132.583	61.248	0.337	
41488	75.77	78.765	-1.0	
41633	153.619	90.758	0.866	
41635	176.197	95.718	0.813	
41872	93.418	91.904	0.648	
41888	276.283	94.722	0.732	
41990	125.609	95.743	0.728	
42070	202.712	98.712	0.337	
42102	93.927	43.858	0.666	
42178	262.153	95.583	0.269	
42276	128.82	68.196	0.751	
42296	201.113	92.751	0.789	
42528	101.491	95.825	0.617	
42563	198.512	97.739	0.9	
42628	165.578	92.727	0.839	
42888	179.771	96.069	-1.0	
42889	103.945	68.728	0.95	
43314	136.84	96.717	0.406	
43435	242.413	96.741	0.425	
43581	91.543	91.036	0.942	
43737	113.714	66.821	0.467	
43816	132.455	90.921	0.861	
44068	94.79	65.799	1.0	
44195	116.08	68.567	0.85	
44260	247.624	92.751	0.168	
44279	162.216	90.756	0.248	
44590	136.173	59.074	0.747	
44652	60.016	90.757	1.0	
44699	221.551	89.761	0.901	
44877	114.87	89.735	0.465	
45070	277.896	88.789	0.653	
45090	81.876	55.951	0.51	
45229	150.457	96.388	0.172	
45472	237.35	91.754	0.504	
45550	101.08	95.912	0.482	
45596	122.812	61.836	0.462	
45728	140.087	95.769	0.353	
46031	195.541	94.771	0.85	
46048	109.602	94.746	0.653	
46252	307.527	94.562	0.82	
46378	130.475	79.763	0.601	
46463	107.898	96.742	0.631	
46497	104.121	91.755	0.711	
46804	295.442	96.717	0.9	
46872	213.142	79.793	0.393	
47010	203.415	95.791	0.711	
47112	184.469	93.773	0.392	
47121	72.141	94.746	0.53	
47571	282.652	97.713	0.698	
47585	166.964	63.829	0.895	
47740	199.585	79.416	0.488	
47769	90.714	97.714	0.603	
47801	154.909	98.878	0.453	
47819	213.408	96.222	0.969	
47828	137.234	52.861	0.538	
48153	224.738	96.742	0.801	
48396	145.057	90.933	0.74	
48504	190.192	89.759	0.543	
48555	97.477	95.744	0.616	
48564	91.016	62.831	0.95	
48924	229.416	90.441	0.303	
49060	160.644	80.761	0.363	
49091	152.101	90.904	-1.0	
49259	262.38	61.858	1.0	
49269	114.894	61.834	0.851	
49759	163.897	95.72	0.788	
49761	138.767	96.742	0.222	
49810	183.307	90.781	0.681	
50006	149.32	97.739	0.218	
50145	50.808	90.781	0.579	
50149	178.939	95.968	0.457	
50165	191.142	91.778	0.7	
50326	36.556	97.765	0.564	
50331	160.688	95.768	0.026	
50380	159.121	90.397	0.75	
50638	237.951	79.787	0.85	
50679	83.379	92.921	0.607	
50811	159.192	89.253	0.79	
50828	117.156	103.699	0.504	
50844	186.881	60.858	0.925	
50896	305.22	98.89	0.746	
50943	110.09	53.879	0.454	
51008	120.244	96.742	1.0	
51309	223.239	79.787	0.889	
51314	107.043	95.759	0.701	
51326	207.355	90.061	0.9	
51598	82.362	59.839	0.505	
51610	61.946	92.723	0.966	
51712	201.825	79.933	1.0	
51738	72.021	95.74	0.516	
51938	150.581	93.724	0.568	
51961	170.066	61.979	0.9	
51976	177.801	90.732	0.85	
52007	242.97	68.817	0.519	
52017	87.004	90.759	0.505	
52412	223.057	88.787	0.062	
52413	101.691	98.71	0.574	
52462	176.662	90.782	1.0	
52507	224.924	89.782	1.0	
52565	88.755	95.769	1.0	
52591	112.988	59.839	0.901	
52891	149.782	90.731	0.238	
52996	122.368	90.758	0.378	
53505	102.822	62.837	0.766	
53529	105.228	91.438	0.855	
53624	206.684	89.759	0.492	
53626	166.861	95.916	0.596	
53909	145.521	66.329	0.584	
53994	187.024	67.818	0.459	
54123	274.965	91.779	0.622	
54164	100.93	88.528	0.85	
54592	62.726	89.783	0.723	
54593	283.703	90.733	0.548	
54605	149.695	97.765	0.67	
54628	151.651	66.845	0.15	
54654	190.65	61.998	0.802	
54931	179.202	61.81	0.9	
54967	111.692	62.834	0.455	
55002	119.745	100.706	0.835	
55022	187.728	67.82	0.516	
55072	190.149	91.755	1.0	
55150	177.951	89.76	0.514	
55167	205.364	78.925	0.463	
55299	97.646	90.782	0.4	
55528	89.516	94.751	0.551	
55950	165.031	62.855	0.867	
56127	256.563	88.76	0.305	
56288	129.055	95.284	0.809	
56344	82.604	94.747	0.834	
56350	136.451	97.881	0.09	
56545	160.294	69.813	1.0	
57027	263.679	90.733	0.938	
57149	151.208	90.78	0.414	
57150	53.224	66.579	0.4	
57232	224.561	98.759	0.363	
57238	74.03	66.849	0.845	
57244	229.116	91.886	0.6	
57597	193.115	89.755	0.335	
57672	143.812	96.765	0.684	
57725	228.032	94.698	0.95	
57760	83.689	79.783	0.434	
58029	122.511	96.741	0.768	
58111	123.063	98.899	0.363	
